"Gene","padj_1","p_value_1","lfcSE.x","stat.x","log2FC_1","baseMean.x","Symbol.x","Description.x","Synonyms.x","GeneType.x","EnsemblGeneID.x","Status.x","ChrAcc.x","ChrStart.x","ChrStop.x","Orientation.x","Length.x","GOFunctionID.x","GOProcessID.x","GOComponentID.x","GOFunction.x","GOProcess.x","GOComponent.x","padj_2","p_value_2","lfcSE.y","stat.y","log2FC_2","baseMean.y","Symbol.y","Description.y","Synonyms.y","GeneType.y","EnsemblGeneID.y","Status.y","ChrAcc.y","ChrStart.y","ChrStop.y","Orientation.y","Length.y","GOFunctionID.y","GOProcessID.y","GOComponentID.y","GOFunction.y","GOProcess.y","GOComponent.y","Regulation"
146,0.00838,0.00107,0.3969,3.272589,1.2990337,49.69,"ADRA1D","adrenoceptor alpha 1D","ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2","protein-coding","ENSG00000171873","active","NC_000020.11","4220630","4249287","negative",2942,"GO:0004930///GO:0004937///GO:0005515///GO:0042802","GO:0001996///GO:0007186///GO:0007188///GO:0007200///GO:0007204///GO:0007267///GO:0008284///GO:0043410///GO:0045907///GO:0071880///GO:0150099","GO:0005886","G protein-coupled receptor activity///alpha1-adrenergic receptor activity///protein binding///identical protein binding","positive regulation of heart rate by epinephrine-norepinephrine///G protein-coupled receptor signaling pathway///adenylate cyclase-modulating G protein-coupled receptor signaling pathway///phospholipase C-activating G protein-coupled receptor signaling pathway///positive regulation of cytosolic calcium ion concentration///cell-cell signaling///positive regulation of cell population proliferation///positive regulation of MAPK cascade///positive regulation of vasoconstriction///adenylate cyclase-activating adrenergic receptor signaling pathway///neuron-glial cell signaling","plasma membrane",0.00918332,0.000121,0.3752,-3.844548,-1.4423669,37.2,"ADRA1D","adrenoceptor alpha 1D","ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2","protein-coding","ENSG00000171873","active","NC_000020.11","4220630","4249287","negative",2942,"GO:0004930///GO:0004937///GO:0005515///GO:0042802","GO:0001996///GO:0007186///GO:0007188///GO:0007200///GO:0007204///GO:0007267///GO:0008284///GO:0043410///GO:0045907///GO:0071880///GO:0150099","GO:0005886","G protein-coupled receptor activity///alpha1-adrenergic receptor activity///protein binding///identical protein binding","positive regulation of heart rate by epinephrine-norepinephrine///G protein-coupled receptor signaling pathway///adenylate cyclase-modulating G protein-coupled receptor signaling pathway///phospholipase C-activating G protein-coupled receptor signaling pathway///positive regulation of cytosolic calcium ion concentration///cell-cell signaling///positive regulation of cell population proliferation///positive regulation of MAPK cascade///positive regulation of vasoconstriction///adenylate cyclase-activating adrenergic receptor signaling pathway///neuron-glial cell signaling","plasma membrane","Upregulated"
379,0.000163,4.93e-06,0.2861,4.567768,1.3068962,126.03,"ARL4D","ADP ribosylation factor like GTPase 4D","ARF4L","protein-coding","ENSG00000175906","active","NC_000017.11","43398993","43401137","positive",1615,"GO:0003924///GO:0005515///GO:0005525","GO:0006886///GO:0009306///GO:0016192","GO:0005730///GO:0005737///GO:0005886","GTPase activity///protein binding///GTP binding","intracellular protein transport///protein secretion///vesicle-mediated transport","nucleolus///cytoplasm///plasma membrane",0.00597648,5.66e-05,0.2926,-4.0263721,-1.1779169,71.38,"ARL4D","ADP ribosylation factor like GTPase 4D","ARF4L","protein-coding","ENSG00000175906","active","NC_000017.11","43398993","43401137","positive",1615,"GO:0003924///GO:0005515///GO:0005525","GO:0006886///GO:0009306///GO:0016192","GO:0005730///GO:0005737///GO:0005886","GTPase activity///protein binding///GTP binding","intracellular protein transport///protein secretion///vesicle-mediated transport","nucleolus///cytoplasm///plasma membrane","Upregulated"
398,2.1e-08,2.57e-11,0.1688,6.669045,1.125579,651.57,"ARHGDIG","Rho GDP dissociation inhibitor gamma","RHOGDI-3","protein-coding","ENSG00000242173","active","NC_000016.10","280591","283010","positive",964,"GO:0005094///GO:0005096///GO:0005515","GO:0001835///GO:0007162///GO:0007266///GO:0032880///GO:0050790","GO:0005829///GO:0005886///GO:0016020///GO:0031410","Rho GDP-dissociation inhibitor activity///GTPase activator activity///protein binding","blastocyst hatching///negative regulation of cell adhesion///Rho protein signal transduction///regulation of protein localization///regulation of catalytic activity","cytosol///plasma membrane///membrane///cytoplasmic vesicle",0.35090453,0.105,0.2407,-1.6195076,-0.3897509,791.37,"ARHGDIG","Rho GDP dissociation inhibitor gamma","RHOGDI-3","protein-coding","ENSG00000242173","active","NC_000016.10","280591","283010","positive",964,"GO:0005094///GO:0005096///GO:0005515","GO:0001835///GO:0007162///GO:0007266///GO:0032880///GO:0050790","GO:0005829///GO:0005886///GO:0016020///GO:0031410","Rho GDP-dissociation inhibitor activity///GTPase activator activity///protein binding","blastocyst hatching///negative regulation of cell adhesion///Rho protein signal transduction///regulation of protein localization///regulation of catalytic activity","cytosol///plasma membrane///membrane///cytoplasmic vesicle","Upregulated"
887,0.000194,6.35e-06,0.2437,4.51439,1.100007,225.38,"CCKBR","cholecystokinin B receptor","CCK-B|CCK2R|GASR","protein-coding","ENSG00000110148","active","NC_000011.10","6259838","6272127","positive",3118,"GO:0004930///GO:0004951///GO:0005515///GO:0015054///GO:0017046///GO:0031741///GO:0046935","GO:0001696///GO:0007166///GO:0007186///GO:0007200///GO:0007204///GO:0008284///GO:0038188///GO:0043551///GO:0045851///GO:0048565///GO:0048732","GO:0005886","G protein-coupled receptor activity///cholecystokinin receptor activity///protein binding///gastrin receptor activity///peptide hormone binding///type B gastrin/cholecystokinin receptor binding///1-phosphatidylinositol-3-kinase regulator activity","gastric acid secretion///cell surface receptor signaling pathway///G protein-coupled receptor signaling pathway///phospholipase C-activating G protein-coupled receptor signaling pathway///positive regulation of cytosolic calcium ion concentration///positive regulation of cell population proliferation///cholecystokinin signaling pathway///regulation of phosphatidylinositol 3-kinase activity///pH reduction///digestive tract development///gland development","plasma membrane",0.0942975,0.00798,0.3586,-2.6529245,-0.9512205,221.94,"CCKBR","cholecystokinin B receptor","CCK-B|CCK2R|GASR","protein-coding","ENSG00000110148","active","NC_000011.10","6259838","6272127","positive",3118,"GO:0004930///GO:0004951///GO:0005515///GO:0015054///GO:0017046///GO:0031741///GO:0046935","GO:0001696///GO:0007166///GO:0007186///GO:0007200///GO:0007204///GO:0008284///GO:0038188///GO:0043551///GO:0045851///GO:0048565///GO:0048732","GO:0005886","G protein-coupled receptor activity///cholecystokinin receptor activity///protein binding///gastrin receptor activity///peptide hormone binding///type B gastrin/cholecystokinin receptor binding///1-phosphatidylinositol-3-kinase regulator activity","gastric acid secretion///cell surface receptor signaling pathway///G protein-coupled receptor signaling pathway///phospholipase C-activating G protein-coupled receptor signaling pathway///positive regulation of cytosolic calcium ion concentration///positive regulation of cell population proliferation///cholecystokinin signaling pathway///regulation of phosphatidylinositol 3-kinase activity///pH reduction///digestive tract development///gland development","plasma membrane","Upregulated"
1393,0.00061,2.96e-05,0.3312,4.176773,1.3834347,101.69,"CRHBP","corticotropin releasing hormone binding protein","CRF-BP|CRFBP","protein-coding","ENSG00000145708","active","NC_000005.10","76952855","76981143","positive",2174,"GO:0005515///GO:0042277///GO:0051424","GO:0001963///GO:0006954///GO:0007165///GO:0007565///GO:0007611///GO:0009755///GO:0035865///GO:0045055///GO:0048149///GO:0051459///GO:0051460///GO:0071277///GO:0071314///GO:0071320///GO:0071356///GO:0071391///GO:0071392///GO:0071466///GO:0080135///GO:0097211///GO:1900011///GO:2000310","GO:0005576///GO:0005615///GO:0005634///GO:0005767///GO:0005771///GO:0005783///GO:0005794///GO:0005874///GO:0030141///GO:0030425///GO:0031045///GO:0043196///GO:0043204///GO:0043679","protein binding///peptide binding///corticotropin-releasing hormone binding","synaptic transmission, dopaminergic///inflammatory response///signal transduction///female pregnancy///learning or memory///hormone-mediated signaling pathway///cellular response to potassium ion///regulated exocytosis///behavioral response to ethanol///regulation of corticotropin secretion///negative regulation of corticotropin secretion///cellular response to calcium ion///cellular response to cocaine///cellular response to cAMP///cellular response to tumor necrosis factor///cellular response to estrogen stimulus///cellular response to estradiol stimulus///cellular response to xenobiotic stimulus///regulation of cellular response to stress///cellular response to gonadotropin-releasing hormone///negative regulation of corticotropin-releasing hormone receptor activity///regulation of NMDA receptor activity","extracellular region///extracellular space///nucleus///secondary lysosome///multivesicular body///endoplasmic reticulum///Golgi apparatus///microtubule///secretory granule///dendrite///dense core granule///varicosity///perikaryon///axon terminus",0.63077277,0.346,0.414,-0.9414496,-0.3897352,53.71,"CRHBP","corticotropin releasing hormone binding protein","CRF-BP|CRFBP","protein-coding","ENSG00000145708","active","NC_000005.10","76952855","76981143","positive",2174,"GO:0005515///GO:0042277///GO:0051424","GO:0001963///GO:0006954///GO:0007165///GO:0007565///GO:0007611///GO:0009755///GO:0035865///GO:0045055///GO:0048149///GO:0051459///GO:0051460///GO:0071277///GO:0071314///GO:0071320///GO:0071356///GO:0071391///GO:0071392///GO:0071466///GO:0080135///GO:0097211///GO:1900011///GO:2000310","GO:0005576///GO:0005615///GO:0005634///GO:0005767///GO:0005771///GO:0005783///GO:0005794///GO:0005874///GO:0030141///GO:0030425///GO:0031045///GO:0043196///GO:0043204///GO:0043679","protein binding///peptide binding///corticotropin-releasing hormone binding","synaptic transmission, dopaminergic///inflammatory response///signal transduction///female pregnancy///learning or memory///hormone-mediated signaling pathway///cellular response to potassium ion///regulated exocytosis///behavioral response to ethanol///regulation of corticotropin secretion///negative regulation of corticotropin secretion///cellular response to calcium ion///cellular response to cocaine///cellular response to cAMP///cellular response to tumor necrosis factor///cellular response to estrogen stimulus///cellular response to estradiol stimulus///cellular response to xenobiotic stimulus///regulation of cellular response to stress///cellular response to gonadotropin-releasing hormone///negative regulation of corticotropin-releasing hormone receptor activity///regulation of NMDA receptor activity","extracellular region///extracellular space///nucleus///secondary lysosome///multivesicular body///endoplasmic reticulum///Golgi apparatus///microtubule///secretory granule///dendrite///dense core granule///varicosity///perikaryon///axon terminus","Upregulated"
1428,0.00148,9.74e-05,0.287,3.896889,1.1185273,1002.19,"CRYM","crystallin mu","DFNA40|THBP","protein-coding","ENSG00000103316","active","NC_000016.10","21258521","21303062","negative",1665,"GO:0003714///GO:0005515///GO:0042562///GO:0042803///GO:0047127///GO:0050661///GO:0070324","GO:0000122///GO:0006554///GO:0007605///GO:0042403///GO:0070327","GO:0005634///GO:0005737///GO:0005739///GO:0005782///GO:0005829///GO:0070062","transcription corepressor activity///protein binding///hormone binding///protein homodimerization activity///thiomorpholine-carboxylate dehydrogenase activity///NADP binding///thyroid hormone binding","negative regulation of transcription by RNA polymerase II///lysine catabolic process///sensory perception of sound///thyroid hormone metabolic process///thyroid hormone transport","nucleus///cytoplasm///mitochondrion///peroxisomal matrix///cytosol///extracellular exosome",0.06319564,0.00364,0.3494,-2.9075924,-1.0160081,558.5,"CRYM","crystallin mu","DFNA40|THBP","protein-coding","ENSG00000103316","active","NC_000016.10","21258521","21303062","negative",1665,"GO:0003714///GO:0005515///GO:0042562///GO:0042803///GO:0047127///GO:0050661///GO:0070324","GO:0000122///GO:0006554///GO:0007605///GO:0042403///GO:0070327","GO:0005634///GO:0005737///GO:0005739///GO:0005782///GO:0005829///GO:0070062","transcription corepressor activity///protein binding///hormone binding///protein homodimerization activity///thiomorpholine-carboxylate dehydrogenase activity///NADP binding///thyroid hormone binding","negative regulation of transcription by RNA polymerase II///lysine catabolic process///sensory perception of sound///thyroid hormone metabolic process///thyroid hormone transport","nucleus///cytoplasm///mitochondrion///peroxisomal matrix///cytosol///extracellular exosome","Upregulated"
1592,0.016,0.00265,0.3967,3.005657,1.1923416,21.37,"CYP26A1","cytochrome P450 family 26 subfamily A member 1","CP26|CYP26|P450RAI|P450RAI1","protein-coding","ENSG00000095596","active","NC_000010.11","93073475","93077885","positive",2477,"GO:0001972///GO:0004497///GO:0005506///GO:0008401///GO:0016491///GO:0016709///GO:0019825///GO:0020037///GO:0062182///GO:0062183","GO:0001822///GO:0006766///GO:0006805///GO:0016125///GO:0032526///GO:0033189///GO:0034653///GO:0042573///GO:0048387","GO:0005789","retinoic acid binding///monooxygenase activity///iron ion binding///retinoic acid 4-hydroxylase activity///oxidoreductase activity///oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen///oxygen binding///heme binding///all-trans retinoic acid 4-hydrolase activity///all-trans retinoic acid 18-hydroxylase activity","kidney development///vitamin metabolic process///xenobiotic metabolic process///sterol metabolic process///response to retinoic acid///response to vitamin A///retinoic acid catabolic process///retinoic acid metabolic process///negative regulation of retinoic acid receptor signaling pathway","endoplasmic reticulum membrane",0.95024616,0.882,0.4323,0.1478201,0.0638971,20.51,"CYP26A1","cytochrome P450 family 26 subfamily A member 1","CP26|CYP26|P450RAI|P450RAI1","protein-coding","ENSG00000095596","active","NC_000010.11","93073475","93077885","positive",2477,"GO:0001972///GO:0004497///GO:0005506///GO:0008401///GO:0016491///GO:0016709///GO:0019825///GO:0020037///GO:0062182///GO:0062183","GO:0001822///GO:0006766///GO:0006805///GO:0016125///GO:0032526///GO:0033189///GO:0034653///GO:0042573///GO:0048387","GO:0005789","retinoic acid binding///monooxygenase activity///iron ion binding///retinoic acid 4-hydroxylase activity///oxidoreductase activity///oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen///oxygen binding///heme binding///all-trans retinoic acid 4-hydrolase activity///all-trans retinoic acid 18-hydroxylase activity","kidney development///vitamin metabolic process///xenobiotic metabolic process///sterol metabolic process///response to retinoic acid///response to vitamin A///retinoic acid catabolic process///retinoic acid metabolic process///negative regulation of retinoic acid receptor signaling pathway","endoplasmic reticulum membrane","Upregulated"
1816,0.00104,6.06e-05,0.2998,4.010616,1.2025305,33.41,"DRD5","dopamine receptor D5","DBDR|DRD1B|DRD1L2","protein-coding","ENSG00000169676","active","NC_000004.12","9781634","9784009","positive",2376,"GO:0001588///GO:0004930///GO:0004952///GO:0005515///GO:0035240","GO:0001963///GO:0001975///GO:0001992///GO:0001994///GO:0006874///GO:0007189///GO:0007190///GO:0007191///GO:0007212///GO:0007268///GO:0008306///GO:0019226///GO:0033861///GO:0042060///GO:0042220///GO:0045762///GO:0045776///GO:0045924///GO:0046960///GO:0060158///GO:0060292///GO:0071870///GO:0071880///GO:0072593","GO:0005886///GO:0005929///GO:0031526///GO:0045202///GO:0060170///GO:0097730","dopamine neurotransmitter receptor activity, coupled via Gs///G protein-coupled receptor activity///dopamine neurotransmitter receptor activity///protein binding///dopamine binding","synaptic transmission, dopaminergic///response to amphetamine///regulation of systemic arterial blood pressure by vasopressin///norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure///cellular calcium ion homeostasis///adenylate cyclase-activating G protein-coupled receptor signaling pathway///activation of adenylate cyclase activity///adenylate cyclase-activating dopamine receptor signaling pathway///dopamine receptor signaling pathway///chemical synaptic transmission///associative learning///transmission of nerve impulse///negative regulation of NAD(P)H oxidase activity///wound healing///response to cocaine///positive regulation of adenylate cyclase activity///negative regulation of blood pressure///regulation of female receptivity///sensitization///phospholipase C-activating dopamine receptor signaling pathway///long-term synaptic depression///cellular response to catecholamine stimulus///adenylate cyclase-activating adrenergic receptor signaling pathway///reactive oxygen species metabolic process","plasma membrane///cilium///brush border membrane///synapse///ciliary membrane///non-motile cilium",0.35090453,0.105,0.3893,-1.6194909,-0.6305046,49.41,"DRD5","dopamine receptor D5","DBDR|DRD1B|DRD1L2","protein-coding","ENSG00000169676","active","NC_000004.12","9781634","9784009","positive",2376,"GO:0001588///GO:0004930///GO:0004952///GO:0005515///GO:0035240","GO:0001963///GO:0001975///GO:0001992///GO:0001994///GO:0006874///GO:0007189///GO:0007190///GO:0007191///GO:0007212///GO:0007268///GO:0008306///GO:0019226///GO:0033861///GO:0042060///GO:0042220///GO:0045762///GO:0045776///GO:0045924///GO:0046960///GO:0060158///GO:0060292///GO:0071870///GO:0071880///GO:0072593","GO:0005886///GO:0005929///GO:0031526///GO:0045202///GO:0060170///GO:0097730","dopamine neurotransmitter receptor activity, coupled via Gs///G protein-coupled receptor activity///dopamine neurotransmitter receptor activity///protein binding///dopamine binding","synaptic transmission, dopaminergic///response to amphetamine///regulation of systemic arterial blood pressure by vasopressin///norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure///cellular calcium ion homeostasis///adenylate cyclase-activating G protein-coupled receptor signaling pathway///activation of adenylate cyclase activity///adenylate cyclase-activating dopamine receptor signaling pathway///dopamine receptor signaling pathway///chemical synaptic transmission///associative learning///transmission of nerve impulse///negative regulation of NAD(P)H oxidase activity///wound healing///response to cocaine///positive regulation of adenylate cyclase activity///negative regulation of blood pressure///regulation of female receptivity///sensitization///phospholipase C-activating dopamine receptor signaling pathway///long-term synaptic depression///cellular response to catecholamine stimulus///adenylate cyclase-activating adrenergic receptor signaling pathway///reactive oxygen species metabolic process","plasma membrane///cilium///brush border membrane///synapse///ciliary membrane///non-motile cilium","Upregulated"
1846,0.00397,0.000372,0.3655,3.55951,1.3011608,157.68,"DUSP4","dual specificity phosphatase 4","HVH2|MKP-2|MKP2|TYP","protein-coding","ENSG00000120875","active","NC_000008.11","29333062","29350684","negative",9017,"GO:0004721///GO:0004725///GO:0005515///GO:0008330///GO:0016791///GO:0017017///GO:0017018///GO:1990439","GO:0001706///GO:0006470///GO:0016311///GO:0043409///GO:0070373","GO:0005634///GO:0005654///GO:0005737","phosphoprotein phosphatase activity///protein tyrosine phosphatase activity///protein binding///protein tyrosine/threonine phosphatase activity///phosphatase activity///MAP kinase tyrosine/serine/threonine phosphatase activity///myosin phosphatase activity///MAP kinase serine/threonine phosphatase activity","endoderm formation///protein dephosphorylation///dephosphorylation///negative regulation of MAPK cascade///negative regulation of ERK1 and ERK2 cascade","nucleus///nucleoplasm///cytoplasm",0.01105132,0.00016,0.3666,-3.7748465,-1.3837688,104.98,"DUSP4","dual specificity phosphatase 4","HVH2|MKP-2|MKP2|TYP","protein-coding","ENSG00000120875","active","NC_000008.11","29333062","29350684","negative",9017,"GO:0004721///GO:0004725///GO:0005515///GO:0008330///GO:0016791///GO:0017017///GO:0017018///GO:1990439","GO:0001706///GO:0006470///GO:0016311///GO:0043409///GO:0070373","GO:0005634///GO:0005654///GO:0005737","phosphoprotein phosphatase activity///protein tyrosine phosphatase activity///protein binding///protein tyrosine/threonine phosphatase activity///phosphatase activity///MAP kinase tyrosine/serine/threonine phosphatase activity///myosin phosphatase activity///MAP kinase serine/threonine phosphatase activity","endoderm formation///protein dephosphorylation///dephosphorylation///negative regulation of MAPK cascade///negative regulation of ERK1 and ERK2 cascade","nucleus///nucleoplasm///cytoplasm","Upregulated"
1961,0.0153,0.00249,0.393,3.02487,1.1888123,56.72,"EGR4","early growth response 4","AT133|NGFI-C|NGFIC|PAT133","protein-coding","ENSG00000135625","active","NC_000002.12","73290929","73293548","negative",2220,"GO:0000978///GO:0000981///GO:0001228///GO:0003700///GO:0005515///GO:0043565///GO:0046872///GO:1990837","GO:0006357///GO:0008284///GO:0045944","GO:0000785///GO:0005654","RNA polymerase II cis-regulatory region sequence-specific DNA binding///DNA-binding transcription factor activity, RNA polymerase II-specific///DNA-binding transcription activator activity, RNA polymerase II-specific///DNA-binding transcription factor activity///protein binding///sequence-specific DNA binding///metal ion binding///sequence-specific double-stranded DNA binding","regulation of transcription by RNA polymerase II///positive regulation of cell population proliferation///positive regulation of transcription by RNA polymerase II","chromatin///nucleoplasm",0.10692712,0.0103,0.3509,-2.5649946,-0.9001283,61.11,"EGR4","early growth response 4","AT133|NGFI-C|NGFIC|PAT133","protein-coding","ENSG00000135625","active","NC_000002.12","73290929","73293548","negative",2220,"GO:0000978///GO:0000981///GO:0001228///GO:0003700///GO:0005515///GO:0043565///GO:0046872///GO:1990837","GO:0006357///GO:0008284///GO:0045944","GO:0000785///GO:0005654","RNA polymerase II cis-regulatory region sequence-specific DNA binding///DNA-binding transcription factor activity, RNA polymerase II-specific///DNA-binding transcription activator activity, RNA polymerase II-specific///DNA-binding transcription factor activity///protein binding///sequence-specific DNA binding///metal ion binding///sequence-specific double-stranded DNA binding","regulation of transcription by RNA polymerase II///positive regulation of cell population proliferation///positive regulation of transcription by RNA polymerase II","chromatin///nucleoplasm","Upregulated"
